,Name,Gender,Birthdate,Genres
43,Michael Haneke,Male,1942-03-23,"['Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller']"
44,John G. Avildsen,Male,1935-12-21,"['Family', 'Romance', 'Adventure', 'Action', 'Drama']"
45,Ted Kotcheff,Male,1931-04-07,"['Comedy', 'Horror', 'War', 'Crime', 'Action', 'Adventure', 'Thriller']"
46,Nick Park,Male,1958-12-06,"['Comedy', 'Family', 'Adventure', 'Animation', 'Science Fiction']"
47,Hou Hsiao-hsien,Male,1947-04-08,"['Drama', 'Romance', 'History']"
48,Don Bluth,Male,1937-09-13,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Music', 'Adventure', 'Drama', 'Action', 'Animation', 'Science Fiction']"
49,E. Elias Merhige,Male,1964-06-14,"['Horror', 'Drama', 'Fantasy']"
50,Andrei Konchalovsky,Male,1937-08-20,"['Comedy', 'Adventure', 'Action', 'Drama', 'Thriller']"
51,Jay Levey,Male,,['Comedy']
52,Amy Heckerling,Female,1954-05-07,"['Adventure', 'Drama', 'Comedy', 'Romance']"
53,Francis Ford Coppola,Male,1939-04-07,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Horror', 'Crime', 'Drama', 'Thriller']"
54,Martin Scorsese,Male,1942-11-17,"['Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Crime', 'Mystery', 'Thriller', 'History']"
55,Ron Howard,Male,1954-03-01,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Crime', 'History', 'Western', 'Science Fiction']"
56,David S. Ward,Male,1945-10-25,['Comedy']
57,Ridley Scott,Male,1937-11-30,"['Fantasy', 'Comedy', 'Horror', 'War', 'Adventure', 'Action', 'Drama', 'Mystery', 'Thriller', 'Crime', 'History', 'Science Fiction']"
58,Roger Spottiswoode,Male,1945-01-05,"['Comedy', 'Family', 'Horror', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'Adventure', 'Science Fiction']"
59,William Shatner,Male,1931-03-22,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
60,Jane Campion,Female,1954-04-30,"['Comedy', 'Romance', 'Drama', 'Mystery', 'Thriller', 'Western']"
61,Takeshi Kitano,Male,1947-01-18,"['Comedy', 'Family', 'Romance', 'Crime', 'Action', 'Drama', 'Thriller']"
62,Brian De Palma,Male,1940-09-11,"['Comedy', 'Romance', 'Horror', 'War', 'Crime', 'Drama', 'Adventure', 'Mystery', 'Thriller', 'Action', 'History', 'Science Fiction']"
63,Scott Spiegel,Male,1957-12-24,"['Horror', 'Mystery']"
64,Marlon Riggs,Male,1957-02-03,['Documentary']
65,Jorge Furtado,Male,1959-06-09,['Documentary']
66,Alan Clarke,Male,1935-10-28,"['Crime', 'Drama', 'TV Movie']"
67,Harold Becker,Male,1928-09-25,"['Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']"
68,Arthur Hiller,Male,1923-11-22,"['Crime', 'Comedy']"
69,Al Reinert,Male,1947-01-01,"['Documentary', 'History']"
70,David Schmoeller,Male,1947-12-08,"['Horror', 'Fantasy', 'Science Fiction']"
71,Hal Hartley,Male,1959-11-03,"['Comedy', 'Romance', 'Crime', 'Drama', 'Thriller']"
72,David Worth,Male,,"['Action', 'Thriller', 'Drama']"
73,Mark DiSalle,Male,,"['Action', 'Thriller', 'Drama']"
74,Bob Balaban,Male,1945-08-16,"['Horror', 'Comedy']"
75,Danny DeVito,Male,1944-11-16,"['Fantasy', 'Comedy', 'Family', 'Crime', 'Drama']"
76,John Lasseter,Male,1957-01-12,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Animation']"
77,Peter Jackson,Male,1961-10-31,"['Fantasy', 'Comedy', 'Music', 'Horror', 'Adventure', 'Drama', 'Action', 'Science Fiction']"
78,Phillip Noyce,Male,1950-04-29,"['Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
79,Michael Moore,Male,1954-04-23,"['Drama', 'Comedy', 'Documentary', 'History']"
80,Wes Craven,Male,1939-08-02,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Science Fiction']"
81,George P. Cosmatos,Male,1941-01-04,"['Horror', 'War', 'Adventure', 'Action', 'Crime', 'Thriller', 'Western', 'Science Fiction']"
82,Susan Seidelman,Female,1952-12-11,"['Comedy', 'Romance', 'Music', 'Crime', 'Drama']"
83,Konstantin Lopushansky,Male,1947-06-12,"['Drama', 'Science Fiction']"
84,Kenneth Branagh,Male,1960-12-10,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Horror', 'War', 'Adventure', 'Drama', 'Action', 'Crime', 'Mystery', 'Thriller', 'History', 'Science Fiction']"
85,Michele Soavi,Male,1957-07-03,"['Horror', 'Comedy']"
86,Kazuki Ōmori,Male,1952-03-03,"['Horror', 'Adventure', 'Action', 'Thriller', 'Science Fiction']"
87,Aki Kaurismäki,Male,1957-04-04,"['Comedy', 'Romance', 'Music', 'Crime', 'Drama']"
88,Mamoru Oshii,Male,1951-08-08,"['Fantasy', 'Comedy', 'Romance', 'Action', 'Mystery', 'Animation', 'Science Fiction']"
89,Kouji Sawai,Male,1955-09-14,"['Action', 'Mystery', 'Animation', 'Science Fiction']"
90,Chris Walas,Male,,"['Horror', 'Science Fiction']"
91,Albert Pyun,Male,1953-05-19,"['Fantasy', 'Adventure', 'Action', 'Thriller', 'Science Fiction']"
92,René Manzor,Male,1959-08-04,"['Horror', 'Action', 'Thriller']"
93,Mark Goldblatt,Male,,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']"
94,Michael A. Simpson,Male,,"['Horror', 'Comedy']"
95,Dorian Walker,Male,,"['Music', 'Fantasy', 'Comedy', 'Romance']"
96,John McTiernan,Male,1951-01-08,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Crime', 'Action', 'Drama', 'Adventure', 'Thriller', 'History', 'Science Fiction']"
97,Isao Takahata,Male,1935-10-29,"['Fantasy', 'Family', 'Romance', 'War', 'Adventure', 'Drama', 'Animation']"
98,Katsuhiro Otomo,Male,1954-04-14,"['Fantasy', 'Adventure', 'Action', 'Animation', 'Science Fiction']"
99,Giuseppe Tornatore,Male,1956-05-27,"['Music', 'Drama', 'Romance']"
100,Barry Levinson,Male,1942-04-06,"['Fantasy', 'Comedy', 'Family', 'War', 'Crime', 'Drama', 'Adventure', 'Mystery', 'Thriller', 'Science Fiction']"
101,John Carpenter,Male,1948-01-16,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Adventure', 'Action', 'Drama', 'Mystery', 'Thriller', 'TV Movie', 'Science Fiction']"
102,Tom Holland,Male,1943-07-11,"['Horror', 'Fantasy', 'Comedy']"
103,Penny Marshall,Female,1943-10-15,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Drama']"
104,David Zucker,Male,1947-10-16,"['Crime', 'Comedy']"
105,John Landis,Male,1950-08-03,"['Fantasy', 'Comedy', 'Romance', 'Music', 'Horror', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'Adventure', 'Western', 'Science Fiction']"
106,David Cronenberg,Male,1943-03-15,"['Romance', 'Horror', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'Science Fiction']"
107,George Sluizer,Male,1932-06-25,"['Mystery', 'Thriller']"
108,Stephen Chiodo,Male,1945-03-02,"['Horror', 'Comedy', 'Science Fiction']"
109,Charles Crichton,Male,1910-08-06,"['Crime', 'Comedy']"
110,Martin Brest,Male,1951-08-08,"['Fantasy', 'Comedy', 'Romance', 'Crime', 'Action', 'Drama']"
111,Dwight H. Little,Male,1956-01-13,"['Horror', 'Thriller']"
112,Andrzej Żuławski,Male,1940-11-22,"['Horror', 'Drama', 'Science Fiction', 'History']"
113,James Signorelli,Male,,"['Horror', 'Comedy']"
114,Chuck Russell,Male,1958-05-09,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Adventure', 'Drama', 'Action', 'Mystery', 'Crime', 'Thriller', 'Science Fiction']"
115,Alan Parker,Male,1944-02-14,"['Comedy', 'Music', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller', 'History']"
116,Tony Randel,Male,1956-05-29,"['Horror', 'Fantasy', 'Thriller']"
117,Renny Harlin,Male,1959-03-15,"['Horror', 'Crime', 'Action', 'Adventure', 'Mystery', 'Thriller', 'Science Fiction']"
118,Theo Angelopoulos,Male,1935-04-27,['Drama']
119,Robert Bierman,Male,,"['Horror', 'Comedy']"
120,Wong Kar-wai,Male,1958-07-17,"['Comedy', 'Romance', 'Crime', 'Drama', 'Action', 'Science Fiction']"
121,Jan Švankmajer,Male,1934-09-04,"['Fantasy', 'Comedy', 'Adventure', 'Drama', 'Animation']"
122,John Carl Buechler,Male,1952-06-18,"['Horror', 'Thriller', 'Science Fiction']"
123,George Scribner,Male,,"['Animation', 'Family', 'Comedy']"
124,Errol Morris,Male,1948-02-05,"['Crime', 'Documentary']"
125,Newt Arnold,Male,1922-02-22,"['Action', 'Thriller']"
126,Stephen Frears,Male,1941-06-20,"['Comedy', 'Romance', 'Music', 'Crime', 'Drama', 'Action', 'Thriller']"
127,Ken Russell,Male,1927-07-03,"['Comedy', 'Horror', 'Crime', 'Drama', 'Thriller', 'Science Fiction']"
128,Terry Gilliam,Male,1940-11-22,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
129,John Waters,Male,1946-04-22,"['Comedy', 'Romance', 'Crime', 'Drama', 'Thriller']"
130,Mike Nichols,Male,1931-11-06,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Drama', 'Thriller']"
131,Peter MacDonald,Male,1939-01-01,"['Adventure', 'Action', 'Thriller', 'War']"
132,Sidney Lumet,Male,1924-06-25,"['Comedy', 'Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']"
133,Donald Petrie,Male,1954-04-02,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Crime', 'Drama', 'Action']"
134,Roger Donaldson,Male,1945-11-15,"['Comedy', 'Romance', 'Horror', 'Adventure', 'Drama', 'Action', 'Thriller', 'History', 'Science Fiction']"
135,Ron Shelton,Male,1945-09-15,"['Drama', 'Comedy', 'Romance']"
136,Frank Henenlotter,Male,1950-08-29,"['Horror', 'Comedy', 'Science Fiction']"
137,Frank Oz,Male,1944-05-25,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Adventure', 'Science Fiction']"
138,Steve De Jarnatt,Male,,"['Comedy', 'Romance', 'Drama', 'Thriller', 'Science Fiction']"
139,Stan Winston,Male,1946-04-07,"['Horror', 'Fantasy']"
140,Philip Kaufman,Male,1936-10-23,"['Adventure', 'Drama', 'Romance', 'History']"
141,William Lustig,Male,1955-02-01,"['Horror', 'Crime', 'Action', 'Mystery', 'Thriller']"
142,Jackie Chan,Male,1954-04-07,"['Comedy', 'Crime', 'Action', 'Adventure', 'Thriller']"
143,Kevin Tenney,Male,1955-10-16,"['Horror', 'Comedy']"
144,Emir Kusturica,Male,1954-11-24,"['Fantasy', 'Comedy', 'Romance', 'War', 'Crime', 'Drama']"
145,Julien Temple,Male,1953-11-26,"['Comedy', 'Science Fiction']"
146,Roman Polanski,Male,1933-08-18,"['Comedy', 'Romance', 'Horror', 'War', 'Drama', 'Mystery', 'Thriller']"
147,Béla Tarr,Male,1955-07-21,"['Crime', 'Drama']"
148,Jörg Buttgereit,Male,1963-12-20,"['Horror', 'Drama']"
149,Luc Besson,Male,1959-03-18,"['Fantasy', 'Family', 'Romance', 'Adventure', 'Drama', 'Action', 'Crime', 'Animation', 'Thriller', 'Science Fiction']"
150,Claire Denis,Female,1946-04-21,"['Romance', 'Horror', 'Drama', 'Mystery', 'TV Movie', 'Science Fiction']"
151,Agnès Varda,Female,1928-05-30,"['Drama', 'Fantasy', 'Romance', 'Documentary']"
152,Terence Davies,Male,1945-11-10,"['Music', 'Drama']"
153,Christopher Cain,Male,1943-10-29,"['Family', 'Adventure', 'Crime', 'Drama', 'Action', 'Western']"
154,Walter Hill,Male,1942-01-10,"['Comedy', 'Crime', 'Action', 'Drama', 'Thriller', 'Western']"
155,Jonathan Demme,Male,1944-02-22,"['Comedy', 'Romance', 'Horror', 'Music', 'Crime', 'Drama', 'Thriller', 'Documentary']"
156,Ramón Menéndez,Male,1949-01-25,['Drama']
157,Howard Deutch,Male,1950-09-14,"['Drama', 'Comedy', 'Romance']"
158,Claude Chabrol,Male,1930-06-24,"['Drama', 'Thriller']"
159,Jonathan Kaplan,Male,1947-11-25,"['Crime', 'Drama']"
160,Buddy Van Horn,Male,1929-08-20,"['Crime', 'Action', 'Thriller']"
161,Stewart Raffill,Male,1942-01-27,"['Fantasy', 'Comedy', 'Family', 'Horror', 'Adventure', 'Science Fiction']"
162,Anthony Hickox,Male,1959-01-30,"['Horror', 'Thriller', 'Comedy']"
163,Don Coscarelli,Male,1954-02-17,"['Fantasy', 'Comedy', 'Horror', 'Adventure', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
164,George A. Romero,Male,1940-02-04,"['Comedy', 'Horror', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
165,Garry Marshall,Male,1934-11-13,"['Family', 'Drama', 'Comedy', 'Romance']"
166,Zhang Yimou,Male,1950-04-02,"['Romance', 'War', 'Adventure', 'Drama', 'Action', 'History']"
167,Juan Piquer Simón,Male,1935-02-16,['Horror']
168,Ken Wiederhorn,Male,1945-01-01,"['Horror', 'Comedy']"
169,Godfrey Reggio,Male,1940-03-29,['Documentary']
170,Toshiharu Ikeda,Male,1951-02-23,"['Horror', 'Crime', 'Thriller', 'Drama']"
171,John Cornell,Male,1941-02-02,"['Adventure', 'Comedy']"
172,R.J. Kizer,Male,1952-09-27,"['Action', 'Comedy', 'Science Fiction']"
173,Donald G. Jackson,Male,1943-04-24,"['Action', 'Comedy', 'Science Fiction']"
174,Joel Coen,Male,1954-11-29,"['Comedy', 'Romance', 'Music', 'War', 'Crime', 'Drama', 'Adventure', 'Mystery', 'Thriller', 'Western']"
175,Tony Bancroft,Male,1967-07-31,"['Adventure', 'Animation', 'Family']"
176,Barry Cook,Male,1958-08-12,"['Adventure', 'Animation', 'Family']"
177,Tony Kaye,Male,1946-01-11,['Drama']
178,Nancy Meyers,Female,1949-12-08,"['Drama', 'Comedy', 'Family', 'Romance']"
179,Wes Anderson,Male,1969-05-01,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Crime', 'Animation']"
180,Simon Wells,Male,1961-01-01,"['Comedy', 'Family', 'Adventure', 'Drama', 'Animation', 'Western']"
181,Steve Hickner,Male,,"['Comedy', 'Family', 'Adventure', 'Drama', 'Animation']"
182,Brenda Chapman,Female,1962-11-01,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'Animation']"
183,Vincent Gallo,Male,1961-04-11,"['Drama', 'Comedy', 'Romance']"
184,Brett Ratner,Male,1969-03-28,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Action', 'Adventure', 'Drama', 'Thriller', 'Science Fiction']"
185,Stephen Norrington,Male,1964-01-01,"['Fantasy', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
186,Nora Ephron,Female,1941-05-19,"['Drama', 'Fantasy', 'Comedy', 'Romance']"
187,Terrence Malick,Male,1943-11-30,"['Fantasy', 'Romance', 'War', 'Drama', 'History']"
188,Guy Ritchie,Male,1968-09-10,"['Fantasy', 'Comedy', 'Family', 'Romance', 'War', 'Crime', 'Action', 'Adventure', 'Mystery', 'Drama', 'Thriller']"
189,Tom Tykwer,Male,1965-05-23,"['Fantasy', 'Romance', 'Crime', 'Action', 'Drama', 'Thriller', 'Science Fiction']"
190,Griffin Dunne,Male,1955-06-08,"['Fantasy', 'Comedy', 'Romance']"
191,Darren Aronofsky,Male,1969-02-12,"['Romance', 'Horror', 'Adventure', 'Drama', 'Crime', 'Mystery', 'Thriller', 'Science Fiction']"
192,Michael Bay,Male,1965-02-17,"['Comedy', 'Romance', 'War', 'Adventure', 'Action', 'Crime', 'Drama', 'Thriller', 'History', 'Science Fiction']"
193,Ikurô Satô,,,"['Western', 'Animation']"
194,Kunihiro Mori,Male,,"['Western', 'Animation']"
195,Hirokazu Yamada,Male,,"['Western', 'Animation']"
196,Yoshiyuki Takei,Male,,"['Western', 'Animation']"
197,Tetsuya Watanabe,Male,,"['Drama', 'Western', 'Animation', 'Science Fiction']"
198,Shinichiro Watanabe,Male,1965-05-24,"['Western', 'Animation', 'Science Fiction', 'Action']"
199,Bobby Farrelly,Male,1958-06-17,"['Comedy', 'Family', 'Romance', 'Adventure', 'Action', 'Animation']"
200,Peter Farrelly,Male,1956-12-17,"['Comedy', 'Family', 'Romance', 'Adventure', 'Action', 'Drama', 'Animation', 'History']"
201,Hideo Nakata,Male,1961-07-19,"['Horror', 'Drama', 'Mystery', 'Thriller']"
202,Todd Solondz,Male,1959-03-14,"['Drama', 'Comedy']"
203,Michael Cristofer,Male,1945-01-22,"['Drama', 'Romance']"
204,Frank Coraci,Male,1966-02-03,"['Drama', 'Fantasy', 'Comedy', 'Romance']"
205,Christopher Nolan,Male,1970-07-30,"['War', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller', 'Mystery', 'History', 'Science Fiction']"
206,Thomas Vinterberg,Male,1969-05-19,"['Drama', 'Comedy']"
207,Walter Salles,Male,1956-04-12,"['Drama', 'Romance']"
208,Gary Ross,Male,1956-11-03,"['Fantasy', 'Comedy', 'Adventure', 'Drama', 'Crime', 'Action', 'Science Fiction']"
209,Todd Haynes,Male,1961-01-02,"['Comedy', 'Romance', 'Music', 'Horror', 'Drama', 'Thriller', 'Animation']"
210,Alex Proyas,Male,1963-09-23,"['Fantasy', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
211,Robert Rodriguez,Male,1968-06-20,"['Comedy', 'Family', 'Horror', 'Crime', 'Action', 'Adventure', 'Mystery', 'Thriller', 'Drama', 'Western', 'Science Fiction']"
212,John Madden,Male,1949-04-08,"['Comedy', 'Romance', 'History']"
213,John McNaughton,Male,1950-01-13,"['Horror', 'Crime', 'Drama', 'Mystery', 'Thriller']"
214,Eric Darnell,Male,1961-08-21,"['Animation', 'Adventure', 'Comedy', 'Family']"
215,Tim Johnson,Male,1961-08-27,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Action', 'Animation', 'Science Fiction']"
216,Ronny Yu,Male,1950-07-01,"['Horror', 'Comedy', 'Romance']"
217,Darrell Rooney,Male,,"['Comedy', 'Family', 'Adventure', 'Action', 'Animation']"
218,James Merendino,Male,1969-01-11,"['Crime', 'Drama', 'Music', 'Comedy']"
219,Martin Campbell,Male,1943-10-24,"['Fantasy', 'Comedy', 'Horror', 'Adventure', 'Action', 'Mystery', 'Thriller', 'TV Movie', 'Science Fiction']"
220,Steve Miner,Male,1951-06-18,"['Fantasy', 'Comedy', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
221,Duwayne Dunham,Male,1952-11-17,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'TV Movie']"
222,Roland Emmerich,Male,1955-11-10,"['War', 'Adventure', 'Action', 'Drama', 'Crime', 'Thriller', 'History', 'Science Fiction']"
223,Yuichi Tanaka,Male,,"['Drama', 'Mystery', 'Animation']"
224,Masahiro Sekiguchi,Male,,"['Drama', 'Mystery', 'Animation']"
225,Shigeru Ueda,Male,1963-05-11,"['Drama', 'Mystery', 'Animation']"
226,Ryutaro Nakamura,Male,1955-04-15,"['Drama', 'Mystery', 'Animation']"
227,Hirokazu Kore-eda,Male,1962-06-06,"['Fantasy', 'Family', 'Crime', 'Drama', 'Thriller']"
228,Tom Shadyac,Male,1958-12-11,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Drama', 'Mystery', 'Science Fiction']"
229,John Frankenheimer,Male,1930-02-19,"['Horror', 'Crime', 'Action', 'Thriller', 'Science Fiction']"
230,Jamie Blanks,Male,1971-11-29,"['Horror', 'Mystery']"
231,John Dahl,Male,1956-12-11,"['Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']"
232,Tony Scott,Male,1944-06-21,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'Science Fiction']"
233,Jim Stenstrum,Male,,"['Fantasy', 'Comedy', 'Family', 'Horror', 'Adventure', 'Mystery', 'Animation']"
234,Hiroshi Aoyama,Male,1960-01-15,"['Horror', 'Mystery', 'Animation', 'Family']"
235,Kazumi Fukushima,,,"['Horror', 'Mystery', 'Animation', 'Family']"
236,Lukas Moodysson,Male,1969-01-17,"['Crime', 'Drama', 'Comedy', 'Romance']"
237,Sam Raimi,Male,1959-10-23,"['Fantasy', 'Comedy', 'Family', 'Horror', 'Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'Mystery', 'Western', 'Science Fiction']"
238,Kunihiko Yuyama,Male,1952-10-15,"['Fantasy', 'Family', 'Adventure', 'Action', 'Animation', 'Science Fiction']"
239,Lars von Trier,Male,1956-04-30,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Science Fiction']"
240,Andy Tennant,Male,1955-06-15,"['Family', 'Drama', 'Comedy', 'Romance']"
241,Vincent Ward,Male,1956-02-16,"['Drama', 'Fantasy', 'Romance']"
242,Betty Thomas,Female,1947-07-27,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Music', 'Drama', 'Animation']"
243,Mimi Leder,Female,1952-01-26,"['Drama', 'Action', 'Science Fiction']"
244,Shekhar Kapur,Male,1945-12-06,"['Drama', 'History']"
245,Randall Wallace,Male,1949-07-28,"['Adventure', 'Drama', 'Action']"
246,Gaspar Noé,Male,1963-12-27,"['Fantasy', 'Romance', 'Horror', 'Crime', 'Drama', 'Thriller']"
